time_ms,seq,accountnumber,ageoldestrecord,agenewestrecord,recentupdate,srcsconfirmidaddrcount,creditbureaurecord,verificationfailure,ssnnotfound,ssnfoundother,verifiedname,verifiedssn,verifiedphone,verifiedaddress,verifieddob,ageriskindicator,subjectssncount,subjectaddrcount,subjectphonecount,subjectssnrecentcount,subjectaddrrecentcount,subjectphonerecentcount,ssnidentitiescount,ssnaddrcount,ssnidentitiesrecentcount,ssnaddrrecentcount,inputaddrphonecount,inputaddrphonerecentcount,phoneidentitiescount,phoneidentitiesrecentcount,phoneother,ssnlastnamecount,subjectlastnamecount,lastnamechangeage,lastnamechangecount01,lastnamechangecount03,lastnamechangecount06,lastnamechangecount12,lastnamechangecount24,lastnamechangecount60,sfduaddridentitiescount,sfduaddrssncount,ssnagedeceased,ssnrecent,ssnlowissueage,ssnhighissueage,ssnissuestate,ssnnonus,ssn3years,ssnafter5,ssnproblems,relativescount,relativesbankruptcycount,relativesfelonycount,relativespropownedcount,relativespropownedtaxtotal,relativesdistanceclosest,inputaddrageoldestrecord,inputaddragenewestrecord,inputaddrhistoricalmatch,inputaddrlenofres,inputaddrdwelltype,inputaddrdelivery,inputaddrapplicantowned,inputaddrfamilyowned,inputaddroccupantowned,inputaddragelastsale,inputaddrlastsalesprice,inputaddrmortgagetype,inputaddrnotprimaryres,inputaddractivephonelist,inputaddrtaxvalue,inputaddrtaxyr,inputaddrtaxmarketvalue,inputaddravmvalue,inputaddravmvalue12,inputaddravmvalue60,inputaddrcountyindex,inputaddrtractindex,inputaddrblockindex,inputaddrmedianincome,inputaddrmedianvalue,inputaddrmurderindex,inputaddrcartheftindex,inputaddrburglaryindex,inputaddrcrimeindex,inputaddrmobilityindex,inputaddrvacantpropcount,inputaddrbusinesscount,inputaddrsinglefamilycount,inputaddrmultifamilycount,curraddrageoldestrecord,curraddragenewestrecord,curraddrlenofres,curraddrdwelltype,curraddrapplicantowned,curraddrfamilyowned,curraddroccupantowned,curraddragelastsale,curraddrlastsalesprice,curraddrmortgagetype,curraddractivephonelist,curraddrtaxvalue,curraddrtaxyr,curraddrtaxmarketvalue,curraddravmvalue,curraddravmvalue12,curraddravmvalue60,curraddrcountyindex,curraddrtractindex,curraddrblockindex,curraddrmedianincome,curraddrmedianvalue,curraddrmurderindex,curraddrcartheftindex,curraddrburglaryindex,curraddrcrimeindex,prevaddrageoldestrecord,prevaddragenewestrecord,prevaddrlenofres,prevaddrdwelltype,prevaddrapplicantowned,prevaddrfamilyowned,prevaddroccupantowned,prevaddragelastsale,prevaddrlastsalesprice,prevaddrtaxvalue,prevaddrtaxyr,prevaddrtaxmarketvalue,prevaddravmvalue,prevaddrcountyindex,prevaddrtractindex,prevaddrblockindex,prevaddrmedianincome,prevaddrmedianvalue,prevaddrmurderindex,prevaddrcartheftindex,prevaddrburglaryindex,prevaddrcrimeindex,addrmostrecentdistance,addrmostrecentstatediff,addrmostrecenttaxdiff,addrmostrecentmoveage,addrmostrecentincomediff,addrmostrecentvaluediff,addrmostrecentcrimediff,addrrecentecontrajectory,addrrecentecontrajectoryindex,educationattendedcollege,educationprogram2yr,educationprogram4yr,educationprogramgraduate,educationinstitutionprivate,educationinstitutionrating,educationfieldofstudytype,addrstability,statusmostrecent,statusprevious,statusnextprevious,addrchangecount01,addrchangecount03,addrchangecount06,addrchangecount12,addrchangecount24,addrchangecount60,estimatedannualincome,assetowner,propertyowner,propownedcount,propownedtaxtotal,propownedhistoricalcount,propageoldestpurchase,propagenewestpurchase,propagenewestsale,propnewestsaleprice,propnewestsalepurchaseindex,proppurchasedcount01,proppurchasedcount03,proppurchasedcount06,proppurchasedcount12,proppurchasedcount24,proppurchasedcount60,propsoldcount01,propsoldcount03,propsoldcount06,propsoldcount12,propsoldcount24,propsoldcount60,watercraftowner,watercraftcount,watercraftcount01,watercraftcount03,watercraftcount06,watercraftcount12,watercraftcount24,watercraftcount60,aircraftowner,aircraftcount,aircraftcount01,aircraftcount03,aircraftcount06,aircraftcount12,aircraftcount24,aircraftcount60,wealthindex,businessactiveassociation,businessinactiveassociation,businessassociationage,businesstitle,businessinputaddrcount,derogseverityindex,derogcount,derogrecentcount,derogage,felonycount,felonyage,felonycount01,felonycount03,felonycount06,felonycount12,felonycount24,felonycount60,arrestcount,arrestage,arrestcount01,arrestcount03,arrestcount06,arrestcount12,arrestcount24,arrestcount60,liencount,lienfiledcount,lienfiledtotal,lienfiledage,lienfiledcount01,lienfiledcount03,lienfiledcount06,lienfiledcount12,lienfiledcount24,lienfiledcount60,lienreleasedcount,lienreleasedtotal,lienreleasedage,lienreleasedcount01,lienreleasedcount03,lienreleasedcount06,lienreleasedcount12,lienreleasedcount24,lienreleasedcount60,bankruptcycount,bankruptcyage,bankruptcytype,bankruptcystatus,bankruptcycount01,bankruptcycount03,bankruptcycount06,bankruptcycount12,bankruptcycount24,bankruptcycount60,evictioncount,evictionage,evictioncount01,evictioncount03,evictioncount06,evictioncount12,evictioncount24,evictioncount60,accidentcount,accidentage,recentactivityindex,nonderogcount,nonderogcount01,nonderogcount03,nonderogcount06,nonderogcount12,nonderogcount24,nonderogcount60,voterregistrationrecord,profliccount,proflicage,proflictypecategory,proflicexpired,profliccount01,profliccount03,profliccount06,profliccount12,profliccount24,profliccount60,prsearchlocatecount,prsearchlocatecount01,prsearchlocatecount03,prsearchlocatecount06,prsearchlocatecount12,prsearchlocatecount24,prsearchpersonalfinancecount,prsearchpersonalfinancecount01,prsearchpersonalfinancecount03,prsearchpersonalfinancecount06,prsearchpersonalfinancecount12,prsearchpersonalfinancecount24,prsearchothercount,prsearchothercount01,prsearchothercount03,prsearchothercount06,prsearchothercount12,prsearchothercount24,prsearchidentityssns,prsearchidentityaddrs,prsearchidentityphones,prsearchssnidentities,prsearchaddridentities,prsearchphoneidentities,subprimeofferrequestcount,subprimeofferrequestcount01,subprimeofferrequestcount03,subprimeofferrequestcount06,subprimeofferrequestcount12,subprimeofferrequestcount24,subprimeofferrequestcount60,inputphonemobile,inputphonetype,inputphoneservicetype,inputareacodechange,phoneedaageoldestrecord,phoneedaagenewestrecord,phoneotherageoldestrecord,phoneotheragenewestrecord,inputphonehighrisk,inputphoneproblems,onlinedirectory,inputaddrsiccode,inputaddrvalidation,inputaddrerrorcode,inputaddrhighrisk,curraddrcorrectional,prevaddrcorrectional,historicaladdrcorrectional,inputaddrproblems,donotmail,identityrisklevel,idverrisklevel,idveraddressassoccount,idverssncreditbureaucount,idverssncreditbureaudelete,sourcerisklevel,sourcewatchlist,sourceorderactivity,sourceordersourcecount,sourceorderagelastorder,variationrisklevel,variationidentitycount,variationmsourcesssncount,variationmsourcesssnunrelcount,variationdobcount,variationdobcountnew,searchvelocityrisklevel,searchunverifiedssncountyear,searchunverifiedaddrcountyear,searchunverifieddobcountyear,searchunverifiedphonecountyear,assocrisklevel,assocsuspicousidentitiescount,assoccreditbureauonlycount,assoccreditbureauonlycountnew,assoccreditbureauonlycountmonth,assochighrisktopologycount,validationrisklevel,correlationrisklevel,divrisklevel,divssnidentitymsourcecount,divssnidentitymsourceurelcount,divssnlnamecountnew,divssnaddrmsourcecount,divaddridentitycount,divaddridentitycountnew,divaddridentitymsourcecount,divaddrsuspidentitycountnew,divaddrssncount,divaddrssncountnew,divaddrssnmsourcecount,divsearchaddrsuspidentitycount,searchcomponentrisklevel,searchssnsearchcount,searchaddrsearchcount,searchphonesearchcount,componentcharrisklevel,errorcode,historydate,did,fnamepop,lnamepop,addrpop,ssnlength,dobpop,emailpop,ipaddrpop,hphnpop
952,705,705,264,1,1,3,1,0,0,0,3,2,-1,0,-1,21,2,6,0,0,0,0,3,4,0,0,1,0,0,0,-1,1,2,85,0,0,0,0,0,0,17,14,-1,0,310,306,CA,0,0,0,0,7,1,0,0,-1,0,-1,-1,-1,-1,S,-1,0,0,1,156,-1,-1,1,0,127966,2018,0,211500,140000,148000,1,1,1,44386,201439,138,129,141,122,0.2,21,42,255,24,38,1,37,H,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,35000,183152,140,170,192,139,84,1,83,H,0,0,0,-1,-1,0,-1,0,0,0,0,0,56944,618421,16,11,12,16,167,0,-1,84,-12558,-416982,106,ED,2,0,-1,-1,-1,-1,-1,-1,5,R,R,-1,0,0,0,0,0,2,45000,0,0,0,0,2,234,234,47,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-1,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,62,1,6,3,4,5,5,5,5,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,V,10.2,0,0,0,0,0,0,1,6,0,3,0,5,0,0,0,-1,1,1,2,2,1,0,2,0,0,0,0,1,0,0,0,0,0,1,9,1,2,2,0,3,17,0,13,0,14,0,10,1,1,2,9,-1,3,,999999,50162945985,1,1,1,0,0,0,0,0
626,710,710,65,1,1,3,1,0,0,0,3,2,-1,1,-1,21,1,2,0,0,0,0,2,3,0,0,0,0,0,0,-1,0,2,66,0,0,0,0,0,0,104,83,-1,0,296,293,FL,0,0,0,0,5,0,0,0,-1,0,65,23,1,42,S,-1,0,0,1,185,400000,-1,1,0,46327,2017,463270,0,0,0,0,0,0,33258,17803,91,71,168,95,0.3,8,57,113,250,33,1,32,S,0,0,1,131,0,-1,0,27649,2017,276490,326000,249000,185000,1.41,1.32,1.45,33810,17667,64,50,153,67,65,23,42,S,0,0,1,185,400000,46327,2017,463270,0,0,0,0,33258,17803,91,71,168,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,4,U,U,U,0,0,0,0,0,1,32000,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-1,-1,17,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,63,2,4,3,3,3,3,3,3,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,58,9,-1,-1,1,-1,V,14.3,0,0,0,0,0,0,1,3,0,3,0,7,0,0,0,-1,1,3,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,8,1,2,1,0,3,104,0,78,0,83,0,66,1,2,5,8,-1,4,,999999,1.91E+11,1,1,1,0,0,0,0,0
2557,715,715,371,1,1,6,1,0,0,0,3,2,2,1,-1,21,1,13,0,0,0,0,3,8,0,0,1,0,1,0,0,1,4,209,0,0,0,0,0,0,19,14,-1,0,538,514,NY,0,0,0,0,17,3,1,3,92640,0,182,1,2,181,S,-1,0,1,0,86,-1,-1,0,1,1220,2018,30590,33407,35276,23723,0.31,0.58,0.46,33981,70000,160,157,168,183,0.3,94,118,255,8,182,1,181,S,0,1,0,86,0,-1,1,1220,2018,30590,33407,35276,23723,0.31,0.58,0.46,33981,70000,160,157,168,183,371,81,290,S,0,0,0,-1,-1,0,-1,0,0,0,0,0,34296,109475,170,154,108,108,769,1,-1,371,-315,-39475,75,EF,2,0,-1,-1,-1,-1,-1,-1,6,O,U,R,0,0,0,0,0,0,34000,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,-1,TECHNICIAN,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,4,7,1,1,1,2,4,4,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,0,1,-1,V,14.3,0,0,0,0,0,0,1,1,2,3,0,4,0,0,0,-1,1,1,1,1,1,0,6,0,0,0,0,5,4,1,0,0,1,1,5,1,2,2,0,6,19,0,12,0,14,0,11,0,1,3,8,2,3,,999999,1948390280,1,1,1,0,0,0,0,1
1874,720,720,479,1,1,2,1,0,0,0,3,2,0,0,-1,21,3,32,0,0,0,0,2,28,0,0,0,0,0,0,-1,0,8,148,0,0,0,0,0,0,116,110,-1,0,599,575,MO,0,0,0,0,29,5,1,7,852412,0,148,53,1,95,S,-1,0,0,0,90,-1,-1,1,0,26600,2017,140000,174904,0,0,1.71,0.73,0.82,40795,223656,198,198,192,198,0.4,47,36,255,238,38,1,37,H,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,38879,68929,119,119,82,124,89,1,88,S,0,0,0,38,0,14250,2017,75000,70354,0.69,0.69,0.44,20128,116810,194,198,159,193,2,0,12350,89,20667,106846,5,FD,3,0,-1,-1,-1,-1,-1,-1,5,R,U,-1,0,0,0,0,0,4,63000,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,-1,-1,10,4,6,0,54,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,5,3,12206,147,0,0,0,0,0,0,2,486,54,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,0,1,54,0,0,0,0,0,1,3,38,3,7,2,2,2,3,3,5,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,10,1,129,53,159,40,0,0,1,-1,V,10.2,0,0,0,0,0,0,1,6,0,3,0,5,0,0,0,-1,1,1,1,1,1,0,6,0,1,0,0,4,3,0,0,0,1,1,6,1,2,1,0,23,116,2,97,0,110,2,92,0,1,12,0,6,3,,999999,2411836777,1,1,1,0,0,0,0,1
945,725,725,298,1,1,6,1,0,0,0,3,2,0,0,-1,21,1,18,0,0,0,0,2,16,0,0,0,0,0,0,1,0,3,282,0,0,0,0,0,0,28,21,-1,0,441,417,VA,0,0,0,0,10,2,2,3,-1,0,153,49,1,104,S,-1,0,0,0,335,-1,-1,1,0,148800,2018,148800,153899,148673,105119,1.67,1.62,1.7,32342,106707,121,103,91,124,0.3,84,99,255,125,42,1,41,S,0,0,1,144,135000,-1,0,99600,2018,99600,102263,89289,115116,1.11,2.43,2.43,34624,93000,179,175,116,178,49,11,38,H,0,0,1,-1,-1,0,-1,0,0,0,0,0,75938,217602,38,27,57,44,3,0,-1,49,-43596,-110895,80,FD,3,0,-1,-1,-1,-1,-1,-1,4,U,R,-1,0,0,0,0,0,3,31000,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,-1,-1,1,4,37,0,42,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,25,21,16874,42,0,0,0,0,0,2,4,439,160,0,0,0,0,0,0,1,63,I,Discharged,0,0,0,0,0,0,11,42,0,0,0,0,0,2,0,-1,1,8,3,4,4,4,4,5,0,1,2,1,0,0,1,1,1,1,2,3,0,1,1,1,3,7,0,0,0,0,0,12,0,0,0,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,144,144,0,0,1,-1,V,10.2,0,0,0,0,0,0,1,6,0,3,0,4,0,0,0,-1,1,1,1,1,1,0,6,0,0,0,0,5,3,2,0,0,2,1,7,1,2,1,0,11,28,0,22,0,21,0,17,0,1,16,12,0,3,,999999,2346898423,1,1,1,0,0,0,0,1
2361,730,730,282,1,1,6,1,0,0,0,3,2,0,1,-1,21,1,7,1,0,0,0,1,7,0,0,0,0,0,0,-1,1,5,128,0,0,0,0,0,0,0,0,-1,0,441,417,MI,0,0,0,0,19,1,0,20,1017471,0,75,1,1,74,H,-1,-1,-1,-1,-1,-1,-1,1,0,0,-1,0,0,0,0,0,0,0,50804,121196,80,33,46,62,0.4,10,12,255,255,14,1,13,S,1,0,0,16,359000,-1,0,179300,2018,0,381721,375000,70544,3.33,1.93,2.34,81333,231593,89,43,80,54,75,1,74,H,0,0,0,-1,-1,0,-1,0,0,0,0,0,50804,121196,80,33,46,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,4,O,R,O,0,0,0,0,1,1,73000,1,1,1,0,3,153,16,72,30000,0.63,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,-1,-1,0,3,2,0,51,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,1,32901,51,0,0,0,0,0,1,1,32901,51,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,46,1,10,4,4,4,4,6,7,1,0,76,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,6,2,2,1,1,0,1,0,0,0,0,0,0,0,1,1,10,2,151,0,-1,-1,0,0,1,-1,V,14.3,0,0,0,0,0,0,1,3,0,3,0,3,0,0,0,-1,2,1,1,1,1,0,2,1,0,0,1,1,1,0,0,0,0,1,7,1,1,1,0,7,0,0,0,0,0,0,0,0,1,6,0,4,6,,999999,1955799063,1,1,1,0,0,0,0,1
1041,735,735,164,1,1,1,1,0,0,0,3,2,-1,1,-1,21,1,12,0,0,0,0,1,13,0,0,1,0,0,0,-1,0,3,159,0,0,0,0,0,0,18,14,-1,0,392,380,SC,0,0,0,0,21,4,1,7,976694,0,163,1,1,162,S,-1,0,1,0,41,-1,-1,1,1,5390,2017,134700,158149,149237,134700,1.13,0.92,0.71,74146,287879,132,122,110,137,0.4,22,55,255,255,11,1,10,S,0,0,1,192,12000,-1,0,165197,2018,165197,172989,162052,13628,2.4,1.49,1.32,49766,88636,144,117,176,181,163,1,162,S,0,1,0,41,0,5390,2017,134700,158149,1.13,0.92,0.71,74146,287879,132,122,110,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0,3,0,5,U,O,R,0,0,0,0,0,3,79000,1,1,1,200000,1,108,108,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-1,-1,0,4,18,0,45,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,9,9,0,45,0,0,0,0,0,4,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,9,45,0,0,0,0,0,4,0,-1,2,9,3,3,4,4,4,6,0,1,2,0,0,0,1,1,1,1,1,1,0,0,1,1,1,12,0,0,2,2,2,11,0,3,3,3,6,1,2,3,1,3,0,0,0,0,0,0,0,0,-1,-1,-1,-1,91,87,90,88,-1,-1,1,-1,V,14.3,0,0,0,0,0,0,1,1,5,3,0,4,0,0,0,-1,4,1,1,1,1,0,7,0,0,1,3,8,7,1,0,0,1,1,7,2,1,1,0,10,18,0,16,0,14,0,13,1,1,22,26,-1,4,,999999,79607242980,1,1,1,0,0,0,0,0
1292,740,740,183,1,1,2,1,0,0,0,3,2,-1,1,-1,21,1,19,0,0,2,0,1,17,0,1,3,0,0,0,-1,0,1,208,0,0,0,0,0,0,0,0,-1,0,405,380,NY,0,0,0,0,12,0,1,1,-1,0,71,1,1,70,H,-1,0,0,0,104,31500,-1,1,0,46300,2014,46300,104000,94500,58000,0.47,0.73,0.69,38266,123969,164,188,160,186,0.5,87,255,255,255,1,1,1,P,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,44973,204514,107,131,132,113,71,1,70,H,0,0,0,104,31500,46300,2014,46300,104000,0.47,0.73,0.69,38266,123969,164,188,160,186,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,4,R,R,R,0,2,2,2,3,3,31000,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,1,119,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,3,87,1,7,4,4,4,4,5,5,1,0,-1,-1,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,2,1,1,4,0,0,0,0,0,0,0,0,-1,-1,-1,-1,158,155,101,2,-1,-1,1,-1,V,10.2,0,0,0,0,0,0,1,3,0,3,0,6,0,0,0,-1,7,1,1,1,2,0,2,0,0,1,1,3,2,0,0,0,1,1,8,2,1,1,0,6,0,0,0,0,0,0,0,1,1,3,7,-1,6,,999999,6599306708,1,1,1,0,0,0,0,0
904,745,745,407,1,1,4,1,0,0,0,3,2,0,0,7,21,2,25,0,0,0,0,2,27,0,0,0,0,0,0,-1,0,3,357,0,0,0,0,0,0,29,25,-1,0,563,551,OK,0,0,0,0,11,3,0,5,695685,0,58,33,1,25,S,4,0,0,1,1,650000,-1,1,0,19155,2017,306017,321884,326589,265732,2.59,1.42,1.21,99643,252273,148,129,156,157,0.6,33,6,255,221,18,1,17,S,0,0,1,58,0,-1,0,4803,2016,54500,64456,53920,0,0.52,1.13,0.98,47315,52037,123,126,152,135,33,1,32,H,0,0,1,-1,-1,0,-1,0,0,0,0,0,33817,147500,176,175,175,143,3,0,-1,33,65826,104773,14,FC,4,0,-1,-1,-1,-1,-1,-1,3,U,R,-1,0,0,0,0,1,6,72000,1,1,1,30300,2,173,173,264,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,69,RECEPTIONIST/SECRETARY,9,3,9,0,34,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,7,3,4534,34,0,0,0,0,0,1,4,4808,34,0,0,0,0,0,1,2,63,I,Discharged,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,1,9,4,4,4,4,5,6,1,0,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,-1,232,104,103,84,0,5,1,-1,V,10.2,0,0,0,0,0,0,1,6,0,3,0,3,0,0,0,-1,1,1,2,1,2,0,6,0,0,0,0,4,4,0,0,0,0,1,9,1,2,1,0,24,29,0,20,0,25,0,18,0,1,10,0,0,3,,999999,969878180,1,1,1,0,1,0,0,1
1767,750,750,180,1,1,5,1,0,0,0,3,2,0,1,-1,21,2,8,0,0,0,0,2,10,0,0,1,0,0,0,-1,1,6,67,0,0,0,0,0,0,16,11,-1,0,392,368,AL,0,0,0,0,19,3,0,6,582400,0,21,7,1,14,S,-1,0,1,0,139,-1,-1,1,1,6680,2018,66660,59910,59952,0,0.66,0.53,0.52,37659,62368,123,45,59,83,0.2,0,16,255,2,138,1,137,H,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,40368,110185,172,85,149,84,180,1,179,S,0,1,0,487,0,10960,2018,109330,93452,1.03,1.01,0.91,51708,105909,110,31,143,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,6,R,O,-1,0,0,0,1,1,1,27000,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-1,-1,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,8,3,5,2,2,2,4,4,5,0,0,-1,-1,-1,0,0,0,0,0,0,2,0,0,0,1,1,2,0,0,0,2,2,21,0,0,1,8,9,2,2,1,1,2,0,0,0,0,0,0,0,0,1,1,10,-1,140,93,-1,-1,0,0,1,-1,V,-1,0,0,0,0,0,0,1,3,2,3,0,7,0,0,0,-1,4,1,2,2,1,0,7,1,1,0,1,4,4,1,0,0,0,1,9,2,2,1,0,10,16,0,12,0,11,0,10,1,1,14,12,5,4,,999999,45276006987,1,1,1,0,0,0,0,1
1129,755,755,299,1,1,3,1,0,0,0,3,2,0,0,-1,21,3,22,0,0,0,0,2,19,0,0,1,0,0,0,-1,0,2,282,0,0,0,0,0,0,14,10,-1,0,429,405,TX,0,0,0,0,39,10,5,21,1417893,0,74,59,1,15,S,-1,0,0,1,72,-1,-1,1,0,59950,2018,59950,44939,46481,0,0.51,0.7,0.39,31250,84688,177,190,188,152,0.4,35,59,255,106,26,1,25,H,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,57078,94000,102,58,148,83,34,1,33,S,0,0,0,27,0,177125,2018,177125,118283,0.92,0.92,0.88,70857,138374,23,7,40,18,278,0,-117175,34,-39607,-53686,134,EF,2,0,-1,-1,-1,-1,-1,-1,3,R,U,-1,0,0,0,0,0,6,37000,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-1,-1,6,4,2,0,151,0,-1,0,0,0,0,0,0,1,117,0,0,0,0,0,0,1,1,1450,151,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,1,151,0,0,0,0,0,0,1,-1,2,9,3,3,3,4,4,4,1,0,-1,-1,-1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,10,-1,171,45,170,33,0,0,1,-1,V,10.2,0,0,0,0,0,0,1,6,1,3,0,4,0,0,0,-1,2,1,3,3,3,0,6,0,1,0,1,9,6,0,0,0,5,1,8,1,1,1,0,15,14,0,11,0,10,0,9,0,1,4,13,0,3,,999999,2254137522,1,1,1,0,0,0,0,1
